PostId,PostTypeId,ParentId,CreationDate,Score,ViewCount,OwnerUserId,OwnerDisplayName,LastActivityDate,LastEditDate,CommentCount,FavouriteCount
14566,2,14406,2014-03-18T19:18:40.137,1,,13332,,2014-03-18T22:47:18.337,2014-03-18T22:47:18.337,1,
14667,2,14637,2014-03-22T18:11:23.027,2,,13254,,2014-03-23T00:33:23.057,2014-03-23T00:33:23.057,1,
14698,2,14688,2014-03-23T22:28:08.827,2,,13415,,2014-03-23T22:28:08.827,,3,
14743,2,14740,2014-03-25T12:25:11.360,4,,894,,2014-03-25T12:57:30.047,2014-03-25T12:57:30.047,0,
14822,2,14815,2014-03-28T20:28:17.310,3,,13815,,2014-03-28T20:28:17.310,,2,
14835,2,14831,2014-03-29T10:54:53.443,2,,13822,,2014-07-02T08:59:41.427,2014-07-02T08:59:41.427,1,
14882,2,14815,2014-03-31T22:15:07.177,2,,13879,,2014-03-31T22:15:07.177,2017-05-23T12:37:05.773,1,
15036,2,8244,2014-04-08T00:03:45.783,3,,10705,,2014-04-25T06:36:00.837,2014-04-25T06:36:00.837,3,
15220,2,15176,2014-04-15T13:16:45.997,1,,13920,,2014-04-15T13:16:45.997,,0,
15385,2,15380,2014-04-22T16:12:21.823,3,,13281,,2019-08-25T17:06:41.947,2019-08-25T17:06:41.947,1,
15618,2,15613,2014-05-01T11:05:37.960,3,,7274,,2014-05-01T11:05:37.960,,0,
15764,2,15675,2014-05-07T13:15:56.900,9,,9475,,2014-05-07T13:15:56.900,2020-06-16T10:47:29.480,2,
15891,2,7081,2014-05-13T12:01:00.047,19,,14836,,2021-06-23T16:38:03.547,2021-06-23T16:38:03.547,5,
16961,2,15944,2014-05-16T17:43:51.340,6,,1311,,2014-05-16T17:43:51.340,,2,
16998,2,16997,2014-05-20T08:21:11.240,8,,8767,,2014-05-20T08:21:11.240,,2,
17032,2,15827,2014-05-21T09:23:58.173,2,,10742,,2014-05-21T09:23:58.173,,0,
17097,2,17096,2014-05-25T21:01:02.950,1,,7274,,2014-05-25T21:01:02.950,,3,
18218,2,18215,2014-06-02T09:14:19.297,1,,10590,,2014-06-02T13:00:05.197,2014-06-02T13:00:05.197,0,
18226,2,8927,2014-06-02T13:37:13.053,5,,10590,,2014-06-02T14:15:50.397,2014-06-02T14:15:50.397,1,
18266,2,18262,2014-06-04T14:53:02.483,1,,15160,,2014-06-05T10:00:19.643,2014-06-05T10:00:19.643,0,
19409,2,19406,2014-06-11T17:23:46.850,1,,1311,,2014-06-13T17:41:05.273,2014-06-13T17:41:05.273,12,
19698,2,19550,2014-06-25T13:38:45.690,0,,14827,,2014-06-25T13:38:45.690,2017-04-13T12:37:13.353,0,
19722,2,11901,2014-06-27T08:09:04.303,0,,12276,,2014-06-27T08:09:04.303,,0,
19729,2,19728,2014-06-27T16:00:43.913,0,,13281,,2014-06-27T16:00:43.913,,2,
19767,2,19765,2014-06-30T06:01:06.267,9,,13650,,2016-09-15T16:34:58.767,2018-12-17T19:02:24.963,2,
19928,2,15192,2014-07-07T21:51:28.903,124,,430,,2017-03-19T10:31:50.373,2017-04-13T12:56:23.120,27,
22004,2,22003,2014-07-10T22:03:50.133,2,,4055,,2014-07-14T19:06:07.490,2014-07-14T19:06:07.490,4,
22057,2,22054,2014-07-13T15:53:14.900,1,,13650,,2014-09-30T13:07:29.780,2018-12-17T19:02:24.963,0,
22148,2,9947,2014-07-16T15:30:32.340,1,,19050,,2014-07-16T15:30:32.340,,0,
